ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,2251,1739354104144,-0.17318,-1.14347,9.00329,20.16771,6.71748,-3.85273
Ak,2252,1739354104165,-1.8338,-4.08664,9.73311,-0.68281,0.2365,6.73274
Ak,2253,1739354104181,-2.27886,-3.11037,10.24038,-1.14438,-0.47682,7.96867
Ak,2254,1739354104198,0.39631,-2.8352,8.55105,6.74037,-2.05606,7.54525
Ak,2255,1739354104211,0.39631,-2.8352,8.55105,12.66824,-3.66963,7.22101
Ak,2256,1739354104233,-0.89581,-4.48624,11.94407,5.83631,1.22448,3.89088
Ak,2257,1739354104254,-2.65932,-2.98355,9.50579,-23.10494,1.54872,9.26181
Ak,2258,1739354104267,-2.65932,-2.98355,9.50579,-32.24469,-1.86152,13.77065
Ak,2259,1739354104282,-0.57517,-1.7321,9.15883,-25.64164,0.66374,8.81932
Ak,2260,1739354104301,1.80808,0.60329,9.37418,-9.18171,7.14853,-1.17871
Ak,2261,1739354104316,2.13829,-3.97657,9.24975,16.58963,-6.45809,2.74269
Ak,2262,1739354104332,0.50399,-3.30897,11.16401,13.38919,0.66755,-2.09421
Ak,2263,1739354104350,0.50399,-3.30897,11.16401,6.32077,2.54433,-1.4648
Ak,2264,1739354104364,0.78873,-3.72772,10.50359,-0.34713,1.84626,0.92313
Ak,2265,1739354104381,-1.11117,-4.18475,10.18535,-1.80048,0.69044,2.70454
Ak,2266,1739354104395,0.57577,0.36879,10.02982,-5.21072,-0.62941,5.05814
Ak,2267,1739354104413,0.57577,0.36879,10.02982,-11.63448,-4.75679,10.69228
Ak,2268,1739354104433,0.70738,-4.06511,9.44597,2.91053,-6.77089,9.58224
Ak,2269,1739354104450,0.70738,-4.06511,9.44597,3.50179,-6.14148,10.26505
Ak,2270,1739354104470,0.25274,-3.88804,10.38395,1.39232,-6.80903,11.79088
Ak,2271,1739354104481,0.75284,-1.90199,8.20409,0.49208,-5.14969,11.1691
Ak,2272,1739354104496,1.14048,-0.15763,10.22363,6.81666,-2.79228,7.9763
Ak,2273,1739354104517,-1.09681,-3.59372,10.29781,27.33913,-10.31845,7.61773
Ak,2274,1739354104532,-1.09681,-3.59372,10.29781,15.46814,1.24355,1.66697
Ak,2275,1739354104550,2.10718,-2.56959,9.73071,-40.591,-17.03975,30.94391
Ak,2276,1739354104565,-0.89581,-0.31555,8.08924,-36.35681,-13.8088,26.64487
Ak,2277,1739354104581,2.24836,-1.09322,10.42942,12.06172,14.64419,-9.76152
Ak,2278,1739354104593,-0.00568,-2.61506,7.62503,24.14632,1.99503,-4.26471
Ak,2279,1739354104610,-0.00568,-2.61506,7.62503,19.7214,1.23593,-3.20807
Ak,2280,1739354104632,1.01366,-1.38993,9.97717,13.22898,1.13293,-1.79667
Ak,2281,1739354104647,-2.44397,-3.4669,10.67588,11.07374,-1.06427,0.19073
Ak,2282,1739354104665,-1.61605,-7.35524,10.56581,8.67818,-4.81019,3.35302
Ak,2283,1739354104680,-0.75703,-3.08405,10.0346,-9.46017,-2.49474,6.58779
Ak,2284,1739354104697,2.19571,-1.01904,8.67069,-24.32561,-9.10541,16.0594
Ak,2285,1739354104720,1.23141,-1.44497,9.61346,-40.35068,-9.29614,21.60199
Ak,2286,1739354104733,-0.63739,0.58654,12.44417,-33.17163,-8.59044,18.71054
Ak,2287,1739354104746,-0.63739,0.58654,12.44417,-8.12507,-4.5775,7.44226
Ak,2288,1739354104766,0.8318,-1.51196,8.42184,-6.4352,-4.36388,6.89677
Ak,2289,1739354104781,0.23121,-5.09163,7.62503,2.36123,-2.34216,2.80753
Ak,2290,1739354104797,-0.0655,-2.7682,9.54646,11.37891,-4.90556,1.86152
Ak,2291,1739354104810,-0.0655,-2.7682,9.54646,11.64593,-4.27234,1.3084
Ak,2292,1739354104831,-2.04437,-0.85872,13.61666,25.54246,21.75458,-21.25868
Ak,2293,1739354104849,0.74566,-3.44058,9.434,20.81619,16.006,-15.05998
Ak,2294,1739354104864,0.18814,-2.08624,7.67049,16.93676,15.71227,-13.63714
Ak,2295,1739354104881,0.37478,-1.48804,10.00828,-7.43463,13.87364,-5.22217
Ak,2296,1739354104901,-0.77378,-3.59133,8.79033,-5.69518,13.7325,-5.56929
Ak,2297,1739354104916,0.22642,-4.59631,6.41187,1.04901,10.90971,-5.48156
