ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,2501,1739355108637,0.9,-2.142,9.26595,3.26944,2.13498,3.01734
HS,2502,1739355108654,-0.921,0.38295,8.835,2.91492,0.03939,2.10347
HS,2503,1739355108671,-1.37595,-2.29305,8.84205,-0.23635,0.80357,3.15915
HS,2504,1739355108689,-2.44095,-0.51705,9.26805,-0.58298,1.99318,2.45799
HS,2505,1739355108705,-1.33995,-2.46795,8.991,-0.7957,4.09665,2.31618
HS,2506,1739355108722,-1.33995,-2.46795,8.991,-2.54465,7.73636,2.31618
HS,2507,1739355108736,-0.29595,-1.73505,9.582,0.39391,6.40495,2.38709
HS,2508,1739355108754,-1.64595,-1.35495,9.87405,0.18908,7.10611,2.52889
HS,2509,1739355108771,-2.85795,-0.294,9.99105,-1.55988,3.88394,2.31618
HS,2510,1739355108789,-4.938,-0.69105,7.401,1.44958,11.09246,6.16861
HS,2511,1739355108806,-2.86995,-1.92195,12.429,-2.12711,2.13498,2.45799
HS,2512,1739355108822,-1.97205,-4.90005,8.205,-2.82038,10.74582,-0.13393
HS,2513,1739355108838,-1.97205,-4.90005,8.205,-3.45064,-17.95435,0.42542
HS,2514,1739355108853,1.674,-2.286,13.60695,0.25998,16.62294,3.92333
HS,2515,1739355108870,-3.16395,-3.20295,8.241,5.64865,-5.14444,1.41019
HS,2516,1739355108887,-2.54595,1.71195,10.28295,2.00893,-4.30148,-0.48057
HS,2517,1739355108906,-1.11195,0.61005,10.73805,0.18908,-0.94538,-2.02469
HS,2518,1739355108921,0.60105,-0.342,7.40595,-2.40284,-10.04467,-4.4039
HS,2519,1739355108938,-1.56705,-0.35895,11.37,-5.62501,-9.06777,-2.65494
HS,2520,1739355108952,-1.56705,-0.35895,11.37,-9.33563,-7.03521,-6.08195
HS,2521,1739355108969,-1.809,-5.17605,9.132,-1.14233,-15.22062,-4.5457
HS,2522,1739355108986,-2.46705,-4.836,9.87195,2.49738,-0.80357,-2.79675
HS,2523,1739355109006,-0.60705,-2.93505,10.96095,1.51261,0.03939,-1.25263
HS,2524,1739355109029,-0.29805,0.12405,10.224,2.35557,10.18647,-0.34664
HS,2525,1739355109039,-1.49805,-0.14805,8.86395,-2.61555,19.49847,0.07878
HS,2526,1739355109053,-0.51405,1.743,13.01805,2.49738,34.61668,-0.97689
HS,2527,1739355109071,-0.19305,-0.01905,9.08205,-8.27996,30.97696,2.94644
HS,2528,1739355109087,-0.19305,-0.01905,9.08205,-1.77259,5.14444,-1.25263
HS,2529,1739355109103,-1.60095,-3.13395,7.15905,6.97218,-17.25319,-3.07249
