ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1501,1739357742462,0.126,-2.28105,10.14,-11.14761,-7.77575,8.68962
HS,1502,1739357742477,-0.084,-3.66405,8.895,-7.5788,-2.45799,9.31987
HS,1503,1739357742496,-3.85005,-3.46605,10.98,-2.40284,1.11082,11.84089
HS,1504,1739357742512,-1.59,-1.191,12.82905,-7.99634,-8.3351,7.42911
HS,1505,1739357742526,-1.02705,-3.38205,8.148,-3.86818,5.45169,10.72219
HS,1506,1739357742545,-1.02705,-3.38205,8.148,-8.27996,-16.03207,5.89287
HS,1507,1739357742561,-1.99905,-0.85395,12.36705,-5.61713,0.48845,8.54781
HS,1508,1739357742576,-0.52905,-3.408,7.07505,-6.11346,-14.28312,7.50002
HS,1509,1739357742594,-1.377,-2.53695,9.96705,-2.11923,-19.04154,8.68962
HS,1510,1739357742609,-0.345,-3.147,6.80505,1.44958,-9.87135,7.42911
HS,1511,1739357742623,-0.76095,0.40995,9.936,-3.86818,-7.56304,7.42911
HS,1512,1739357742641,-0.27495,-2.04795,6.249,5.57774,9.93437,11.9827
HS,1513,1739357742660,-0.27495,-2.04795,6.249,3.26944,13.22745,10.99792
HS,1514,1739357742675,0.04005,-2.98695,8.77005,-13.95224,-60.90613,3.93121
HS,1515,1739357742695,-0.79695,-0.13305,14.112,-8.42176,-5.67228,9.10716
HS,1516,1739357742718,1.12395,0.654,10.42695,-14.58249,2.58404,12.81778
HS,1517,1739357742734,0.59805,-0.75795,9.77805,-9.8871,3.21429,11.21064
HS,1518,1739357742752,-0.10005,-2.91705,11.35605,-4.35663,9.51683,11.13973
HS,1519,1739357742765,-2.10705,-4.07895,9.61995,-0.71691,2.37133,12.61295
HS,1520,1739357742779,-0.402,-1.10295,11.09805,-1.00053,6.43646,11.9827
HS,1521,1739357742799,-0.828,-2.41905,10.48005,-1.77259,12.80203,12.81778
HS,1522,1739357742814,-0.11505,-3.06795,9.489,5.93226,6.36556,15.62241
HS,1523,1739357742828,-0.11505,-3.06795,9.489,5.93226,9.37502,14.92125
HS,1524,1739357742848,-1.47,-1.78995,9.32805,6.83825,-0.49632,13.51894
HS,1525,1739357742867,-0.21495,-1.71795,7.50405,3.75789,-12.67597,11.91179
