ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1251,1739358803927,-1.52295,-4.64595,9.46905,-0.71691,-1.26839,-1.18173
HS,1252,1739358803943,-0.903,-2.01705,9.63705,-2.40284,-0.35452,-1.59927
HS,1253,1739358803961,-1.21395,-2.98395,10.70205,-2.89129,1.1187,-1.45746
HS,1254,1739358803976,-1.21395,-2.98395,10.70205,0.04727,1.46534,-0.62238
HS,1255,1739358803993,0.174,-3.54705,10.46295,7.05096,-3.01734,-0.82721
HS,1256,1739358804010,0.969,-2.115,10.76505,0.96114,0.34664,-2.01681
HS,1257,1739358804027,-0.13395,-1.713,10.85295,2.29255,1.88288,-2.57616
HS,1258,1739358804043,-1.93005,-0.71505,8.78205,-3.37973,-2.10347,-2.01681
HS,1259,1739358804060,0.909,0.22005,9.04305,-7.09035,0.62238,-2.57616
HS,1260,1739358804076,-2.02305,-2.11995,6.702,-12.33721,1.46534,-1.59927
HS,1261,1739358804093,-1.101,-5.994,11.42805,-10.51736,-1.82774,-1.45746
HS,1262,1739358804117,-0.12,-2.02695,9.50805,-3.16702,1.32353,-2.30043
HS,1263,1739358804135,0.64305,-2.187,6.83595,1.59139,8.81567,-1.81198
HS,1264,1739358804153,0.64305,-2.187,6.83595,-0.22847,-4.20694,-3.27732
HS,1265,1739358804169,1.80405,1.65195,11.29905,3.26944,-2.59192,-2.44223
HS,1266,1739358804186,-1.41705,-3.31695,7.58505,7.3976,-7.56304,-2.08771
HS,1267,1739358804201,-0.864,-2.67795,11.14095,7.88605,3.77364,-0.82721
HS,1268,1739358804212,-1.932,0.59595,9.78105,5.86136,9.02838,-0.96901
HS,1269,1739358804230,0.88995,1.65495,10.87695,-1.90652,-2.31618,-1.52837
HS,1270,1739358804249,-0.165,-2.046,7.39395,-4.35663,5.73531,0.14969
HS,1271,1739358804263,-0.165,-2.046,7.39395,-6.94855,-2.03257,0.00788
HS,1272,1739358804283,-0.804,-0.37695,11.26005,-9.8162,2.93856,1.06355
HS,1273,1739358804299,0.88995,-3.48705,7.863,-10.31252,-3.29307,-0.12605
HS,1274,1739358804316,-4.20195,-4.22505,7.60695,9.01263,-1.75683,-0.62238
HS,1275,1739358804333,0.07605,-3.75795,8.538,10.90339,-13.72377,-1.18173
HS,1276,1739358804350,0.102,-0.35595,11.715,5.37291,2.02469,-0.33876
HS,1277,1739358804368,-0.48795,-2.76405,10.20405,7.26367,5.45169,1.06355
HS,1278,1739358804382,-0.48795,-2.76405,10.20405,7.4685,10.98217,2.18225
HS,1279,1739358804400,-1.899,-2.88405,9.663,5.79045,2.93856,0.92175
