ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1251,1739358805036,0.01436,-0.82522,10.16052,-9.29233,12.4508,1.60213
Abj,1252,1739358805051,0.01436,-0.82522,10.16052,2.97538,24.89398,-0.22888
Abj,1253,1739358805061,-1.37258,-5.13948,9.82523,4.31811,2.0141,0.50353
Abj,1254,1739358805073,-1.25773,-3.18724,7.49911,11.63448,-5.06577,1.48006
Abj,1255,1739358805090,-1.25773,-3.18724,7.49911,0.59508,-1.40377,-1.44954
Abj,1256,1739358805103,0.58923,0.08764,8.98206,8.76592,15.12864,0.13733
Abj,1257,1739358805124,-0.87697,-3.34038,7.334,2.36504,7.56814,0.07629
Abj,1258,1739358805141,-0.25155,-1.78804,5.71944,3.09744,-43.44812,-1.75471
Abj,1259,1739358805158,-0.87936,-2.57139,17.05724,17.61575,-28.43392,-2.97538
Abj,1260,1739358805177,0.18664,-1.22034,6.42353,0.71714,42.59365,1.96833
Abj,1261,1739358805192,0.31137,2.46401,11.72722,-7.52236,-14.95317,-3.09744
Abj,1262,1739358805208,0.31137,2.46401,11.72722,-10.26886,-48.02562,-0.16784
Abj,1263,1739358805232,0.54855,-1.41924,10.17967,-0.07629,49.17763,-1.75471
Abj,1264,1739358805247,0.05982,-6.70858,10.32114,-5.69136,-4.33337,-0.04578
Abj,1265,1739358805264,-0.88893,-2.16909,9.61915,-1.11386,8.84984,-2.18194
Abj,1266,1739358805282,-0.46959,-1.53649,8.51964,1.32748,0.9155,-2.12091
Abj,1267,1739358805293,-0.14865,-4.32263,8.64198,8.58282,12.20667,-2.18194
Abj,1268,1739358805305,-0.14865,-4.32263,8.64198,-0.19836,-7.38504,-2.36504
Abj,1269,1739358805323,-0.12951,-0.47049,11.06381,-6.17963,-2.31927,-3.58571
Abj,1270,1739358805341,-0.12712,-0.85872,11.57408,-7.09513,-4.0282,-2.60918
Abj,1271,1739358805357,-0.17737,-3.82672,9.79173,-0.38146,6.65264,-2.60918
Abj,1272,1739358805375,0.42622,-2.79422,10.21346,-0.86973,0.48827,-3.64674
Abj,1273,1739358805393,-0.55334,-3.46511,10.85534,1.32748,-4.08923,-2.60918
Abj,1274,1739358805408,-0.55334,-3.46511,10.85534,0.47301,2.44133,-2.97538
Abj,1275,1739358805434,-0.11755,-2.94287,12.03141,2.42608,-8.91087,-3.09744
